,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
50,6zRWcbJ2UHIbB6bWusQBtQ,Young Drivers of Canada,2.0,9,,"Driving Schools, Specialty Schools, Education",,51,50.0
85,ER2ghPBTyKBn7L2bBZ_nlA,Georgia Hardy Tours Inc.,3.5,3,,"Education, Travel Services, Hotels & Travel, Tours","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}",86,85.0
165,4nct8XhcC1Px7En-OCq6dg,Chestnut Residence,2.0,12,,"Real Estate, University Housing, Home Services",,166,165.0
286,ap2yPjW2fsAOXkVeiE8STQ,Ryerson University,3.5,17,,"Education, Colleges & Universities",,287,286.0
380,lxl0KqBMi04BH2HdWyqzpg,Blyth Academy,1.0,3,,"Special Education, Educational Services, Middle Schools & High Schools, Education",,381,380.0
454,43_XLRzWDeIvPQlAJibplw,The Linden School,4.0,7,,"Education, Middle Schools & High Schools, Elementary Schools",,455,454.0
485,8PwwIQiWgRd2vRFVJihpJQ,Convocation Hall,3.0,7,,"Colleges & Universities, Education, Venues & Event Spaces, Event Planning & Services",,486,485.0
682,qyGxuRCaae257xL8EqrVog,Rose Driving School,3.5,3,,"Specialty Schools, Driving Schools, Education","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '10:0-16:0'}",683,682.0
987,mU27Ab1fe3YhIfiRfRrTpw,Centennial College - Progress Campus,1.0,3,,"Colleges & Universities, Education","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",988,987.0
1158,xk9Z9rNSWJhURfkwWKXFnw,High Park Ski Club,4.5,5,{'GoodForKids': 'False'},"Ski Schools, Education, Amateur Sports Teams, Fitness & Instruction, Specialty Schools, Active Life",,1159,1158.0
1461,FU0syaMzJW0Lv5bkNKYMAw,Janet's Custom Sewing & Embroidery,5.0,3,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'False'}","Shopping, Customized Merchandise, Sewing & Alterations, Uniforms, Local Services, Education, Art Classes","{'Monday': '0:0-0:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-15:0'}",1462,1461.0
1490,nYXZqFAnZ51_5SJvy9lx2w,OCAD UNIVERSITY,4.0,12,,"Education, Colleges & Universities, Specialty Schools, Art Schools",,1491,1490.0
1497,Zu0zISvcLwfTViLVXECCvg,Tartu College,1.5,10,{'ByAppointmentOnly': 'False'},"Colleges & Universities, Home Services, Real Estate, Education, Apartments","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0'}",1498,1497.0
2011,efKt0pS0d83aJ5KXupy16Q,Elite Music Academy,3.5,3,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Private Tutors, Musical Instruments & Teachers, Education, Shopping","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '10:0-17:0', 'Sunday': '11:0-17:0'}",2012,2011.0
2104,Avy-pjyfiymY6ohcSUrY1A,Kinder College Early Learning Centre,4.0,5,,"Preschools, Education, Local Services, Child Care & Day Care","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0'}",2105,2104.0
2158,S97o0UcKFmWNdIvgsRrhHQ,Kids & Company Scotia Plaza,4.0,4,,"Child Care & Day Care, Event Planning & Services, Preschools, Venues & Event Spaces, Education, Local Services","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0'}",2159,2158.0
