,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
4,9JCjKd6eFXsAMVwouTh_4Q,Bath and Body Works,3.5,7,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Cosmetics & Beauty Supply, Shopping, Beauty & Spas",,5,4.0
7,umDBj-8WUNkNBODa6P0G-Q,Natural Scents,4.5,8,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '1'}","Health & Medical, Massage Therapy, Eyelash Service, Waxing, Beauty & Spas, Hair Removal","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-19:0'}",8,7.0
22,e-tRKAC-q40SqQfAOwYa-A,Aum Ayurvedic & Thai Massage,3.0,12,"{'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'AcceptsInsurance': 'True', 'WheelchairAccessible': 'True'}","Reflexology, Massage Therapy, Massage, Beauty & Spas, Health & Medical","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",23,22.0
23,91Ca9nXEj9rBQSSziyIc3A,Jealousy Beauty,3.0,7,"{'RestaurantsPriceRange2': '3', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Beauty & Spas, Shopping, Cosmetics & Beauty Supply","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}",24,23.0
25,oz4YTqzGLYRzV0lSMDaEEQ,Toronto Police Museum,3.0,4,{'GoodForKids': 'True'},"Arts & Entertainment, Museums",,26,25.0
28,G4ev4PBd5cpf0d36qZPUxQ,Topcuts,2.0,5,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","Beauty & Spas, Hair Salons",,29,28.0
29,KJpwqQ2YBb4xWFbfc-6p4g,Sara's Hairline Nail & Spa,2.5,3,"{'GoodForKids': 'False', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '4', 'BikeParking': 'True'}","Beauty & Spas, Nail Salons, Hair Salons, Skin Care","{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:0'}",30,29.0
66,QH3tPvfA5w9VyD1TPY3iaQ,Sharifian Salon & Spa,2.5,5,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True'}","Hair Salons, Beauty & Spas","{'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0'}",67,66.0
67,PFS9kf3U-ZCvpqay3AaNnQ,Drake General Store,3.0,13,"{'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Hobby Shops, Shopping, Books, Mags, Music & Video, Arts & Entertainment, Men's Clothing, Fashion, Bookstores, Personal Shopping, Women's Clothing","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",68,67.0
71,KmozqOUHpAkceHfdd6mX2Q,Forest Nails and Spa,4.5,3,,"Beauty & Spas, Hair Removal, Nail Salons, Waxing, Massage Therapy, Health & Medical","{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-17:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-18:0', 'Sunday': '11:0-18:0'}",72,71.0
