,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
208,i3b5SJl54H1FHCQlgH5RMg,Wellesley Subway Station,2.5,9,,"Hotels & Travel, Train Stations",,209,208.0
394,MuIyn6lzSRZzUwTtEjkj2w,College Subway Station,3.0,5,,"Hotels & Travel, Transportation, Public Transportation, Departments of Motor Vehicles, Public Services & Government",,395,394.0
846,n7i_Ioh9Ip74kZ9QCwBOVg,Bay Subway Station,3.0,3,,"Train Stations, Public Services & Government, Hotels & Travel",,847,846.0
953,cSTygRKb-wX0cDausQG5FA,45 Kipling Bus,4.5,7,,"Public Transportation, Transportation, Hotels & Travel",,954,953.0
956,xdzR2Qt150pVAreGv811uQ,Ossington Subway Station,3.5,9,,"Transportation, Hotels & Travel, Train Stations, Public Transportation",,957,956.0
1346,kMBQAdFsSbinhBn0qReNWQ,Coach Canada Fallsview Casino Shuttle,3.5,3,,"Transportation, Public Transportation, Hotels & Travel",,1347,1346.0
1440,wXtE0iV1m6OCr-dOCfvF6Q,Pape Subway Station,3.5,8,,"Public Transportation, Train Stations, Transportation, Hotels & Travel",,1441,1440.0
1867,er1Dcbk6q45kFjQkQ_pKSA,Exhibition Go Station,3.5,4,,"Hotels & Travel, Transportation, Public Transportation",,1868,1867.0
2174,4APHDi5xxbV0JhgDRYAzFw,St Patrick Subway Station,3.5,5,,"Train Stations, Hotels & Travel, Transportation, Public Services & Government, Departments of Motor Vehicles, Public Transportation",,2175,2174.0
2319,W3Z0kJImaaDM2QK0PaVElQ,Dundas Station,3.0,10,,"Transportation, Public Transportation, Hotels & Travel",,2320,2319.0
2479,t8fd_gY5FGb0AxLPSHLZIA,TTC- 61 Avenue Rd North Bus,2.5,3,,"Hotels & Travel, Public Transportation, Transportation, Public Services & Government",,2480,2479.0
2571,li99_TrLe0pyXZRBoOqkBA,Sheppard West Station,4.5,6,,"Transportation, Public Transportation, Hotels & Travel, Train Stations","{'Monday': '6:0-2:30', 'Tuesday': '6:0-2:30', 'Wednesday': '6:0-2:30', 'Thursday': '6:0-2:30', 'Friday': '6:0-2:30', 'Saturday': '6:0-2:30', 'Sunday': '8:0-2:30'}",2572,2571.0
2884,6pEyG24l1R9T3pnl7RET6Q,Islington Station,2.5,14,,"Hotels & Travel, Public Transportation, Transportation",,2885,2884.0
3212,mGLdVErt5PEpcvUJEk3CAg,Kipling Subway Station,3.5,20,,"Hotels & Travel, Public Transportation, Train Stations, Transportation","{'Monday': '6:0-2:0', 'Tuesday': '6:0-2:0', 'Wednesday': '6:0-2:0', 'Thursday': '6:0-2:0', 'Friday': '6:0-2:0', 'Saturday': '6:0-2:0', 'Sunday': '6:0-2:0'}",3213,3212.0
