locationKey,address,city,state,zipcode,latitude,longitude,neighborhoodKey
1,700 Kipling Avenue Etobicoke,Toronto,ON,M8Z 5G3,43.6245394916,-79.5291079302,59
2,306 Yonge Street,Toronto,ON,M5B 1R4,43.6565424,-79.38130759999999,7
3,415 Horner Avenue,Toronto,ON,M8W 4W3,43.603232,-79.53842440000001,3
4,843 Kipling Avenue,Toronto,ON,M8Z 5G9,43.6332914,-79.5317683,59
5,1900 Eglintion Ave E,Toronto,ON,M1L 2L9,43.727188700000006,-79.2930079,129
6,688 Gerrard Street E,Toronto,ON,M4M 1Y3,43.6663763388,-79.3487726589,89
7,"510 Coronation Dr. Unit #18, Unit 18",Toronto,ON,M1E 4X6,43.7652657335,-79.1669769712,124
8,143 Sheppard Avenue W,Toronto,ON,M2N 1M7,43.7596753,-79.4181223,68
9,198 Spadina Avenue,Toronto,ON,M5T 2C2,43.6502316,-79.39722330000001,63
10,287 College Street,Toronto,ON,M5T 1S2,43.65762120000001,-79.40088490000001,63
11,100 Bloor St E,Toronto,ON,M4W 1A7,43.670936100000006,-79.3846434,105
12,90 Adelaide Street W,Toronto,ON,M5H 3V9,43.6498592,-79.38206020000001,7
13,618 Bloor St W,Toronto,ON,M6G,43.6647074,-79.4139395,4
14,"4256 Bathurst Street, Suite 400",Toronto,ON,M3H 3P7,43.751152000000005,-79.4378043,26
15,3-1265 York Mills Road,Toronto,ON,M3A 1Z3,43.765279,-79.32624799999999,96
16,2048 Danforth Avenue,Toronto,ON,M4C 1J6,43.6856078,-79.31393620000001,29
17,570 Bloor Street W,Toronto,ON,M6G 1K1,43.664926858,-79.4115530642,95
18,2201 Yonge Street,Toronto,ON,M4S 2B2,43.705842499999996,-79.3978408,84
19,884 Kingston Road,Toronto,ON,M4E 1S3,43.6804133,-79.29027940000002,36
20,549 Collage Street,Toronto,ON,M6G 1A5,43.655927596000005,-79.4095277041,120
21,439 Queen Street W,Toronto,ON,M5V 2A5,43.6486848,-79.3959412,123
22,"557 Dixon Road, Unit 130",Toronto,ON,M9W 1H7,43.6901440838,-79.571658481,125
23,538 College Street,Toronto,ON,M6G 1A6,43.6560081,-79.4112052,95
24,5511 Yonge Street,Toronto,ON,M2N 5S1,43.778177899999996,-79.4150293,130
25,984 Dundas St W,Toronto,ON,M6J,43.6505326,-79.4152092,120
26,40 College St,Toronto,ON,M5G 2J3,43.661198,-79.3852652,7
27,261 Spadina Avenue,Toronto,ON,M5T 1H1,43.6522510663,-79.3976421654,63
28,"816 Warden Avenue, Unit F3",Toronto,ON,M1L 4C2,43.725989,-79.289429,25
29,499 Street Clair Avenue W,Toronto,ON,M5P 1N6,43.6830984,-79.41788740000001,22
30,4823 Leslie Street,Toronto,ON,M2J 2K8,43.7790717,-79.36543879999999,31
31,285 College Street,Toronto,ON,M5T 1S2,43.65762120000001,-79.40088490000001,63
32,792 Queen Street E,Toronto,ON,M4M 1H4,43.659631299999994,-79.3470213,111
33,329 Spadina Ave,Toronto,ON,M5T 2E9,43.6546313,-79.3982462,63
34,681 Bloor St W,Toronto,ON,M6G 1L3,43.66374570000001,-79.41645190000001,95
35,15 York Street,Toronto,ON,M5J,43.6420951,-79.3808507,123
36,37 Sheppard Avenue E,Toronto,ON,M2N 7K1,43.761612,-79.4092208,130
37,180 Avenue Road,Toronto,ON,M5R 2J1,43.6758214,-79.3970251,4
38,901 King Street W,Toronto,ON,M7A 2A9,43.6418321,-79.4112632,88
39,169 Niagara Street,Toronto,ON,M5V,43.641948,-79.4065795,88
40,3479 Yonge St,Toronto,ON,M4N 2N3,43.7343668,-79.4044224,17
41,1378 Yonge Street,Toronto,ON,M4T 1Y5,43.6862465,-79.39356140000001,138
42,140 Carlton Street,Toronto,ON,M5A 3W7,43.66310870000001,-79.3751627,20
43,"2700 St Clair Avenue W, Unit 1",Toronto,ON,M6N 1M2,43.6665079966,-79.4978697455,103
44,240 Belfield Road,Toronto,ON,M9W 1H3,43.700195,-79.5855035,125
45,1000 Eglinton Avenue W,Toronto,ON,M6C 2C5,43.7003475,-79.4296338,44
46,61 Under Cliff Drive,Toronto,ON,M1N 3Z5,43.7036232862,-79.2421203193,27
47,1199 Dundas Street W,Toronto,ON,M6J 1X3,43.6491656,-79.42249770000001,120
48,293 King Street W,Toronto,ON,M5V 1J5,43.6463565,-79.3900436,123
49,776 Annette St,Toronto,ON,M6S 2E2,43.658435,-79.487365,107
50,540 Church Street,Toronto,ON,M4Y 2E1,43.6653281,-79.3807902,24
51,"180 Bloor Street W, Unit G2",Toronto,ON,M5S 2V6,43.668857200000005,-79.3949916,4
52,770 St Clair Ave W,Toronto,ON,M6C 2Z1,43.68128239999999,-79.4287282,136
53,379 Harbord Street,Toronto,ON,M6G 1H8,43.6587414936,-79.4228415599,95
54,341 Avenue Roncesvalles,Toronto,ON,M6R 2M8,43.6494523,-79.4500398,104
55,"2900 Warden Avenue, Unit 102",Toronto,ON,M1W 2S8,43.798105086099994,-79.3180795877,67
56,9 Isabella St,Toronto,ON,M4Y 1M7,43.6674742,-79.3849634,24
57,165 Roncesvalles Avenue,Toronto,ON,M6R 2L3,43.644214899999994,-79.44809079999999,104
58,"254 Spadina Avenue, 2nd Floor",Toronto,ON,M5T 2C2,43.6517002,-79.3979873,63
59,146 Cumberland Street,Toronto,ON,M5R,43.670008200000005,-79.39284649999999,4
60,948 Queen Street E,Toronto,ON,M4M 1J7,43.660960709399994,-79.3411559715,111
61,21 Progress Avenue,Toronto,ON,M1P,43.7697498,-79.2806032,32
62,685 Lansdowne Avenue,Toronto,ON,M6H 3Y2,43.658881,-79.4428984,33
63,23 Glen Watford Dr,Toronto,ON,M1S 2B7,43.786927399999996,-79.27407149999999,2
64,55 Dundas Street E,Toronto,ON,M5B 1C6,43.656212,-79.37870799999999,24
65,341 Broadview Avenue,Toronto,ON,M4M 2H1,43.664861,-79.35208359999999,111
66,35 Jarvis Street,Toronto,ON,M5E 1N3,43.6499864,-79.3713933,80
67,1084 Danforth Ave,Toronto,ON,M4J 1M2,43.6810361,-79.33533249999999,29
68,1144 Queen Street W,Toronto,ON,M6J 1J3,43.6431795839,-79.4243180752,72
69,323 Queen Street W,Toronto,ON,M5V 2A4,43.6494979,-79.3916954,123
70,569 Danforth Ave,Toronto,ON,M4K 1P9,43.6782996271,-79.3468696065,89
71,334 Bloor Street W,Toronto,ON,M5S 1W9,43.6667449,-79.4040508,4
72,"4841 Yonge Street, Unit 106",Toronto,ON,M2N 5X2,43.7625088,-79.4105316,130
73,688 Richmond Street W,Toronto,ON,M6J 3N4,43.6460937,-79.40686579999999,88
74,1205 Queen Street W,Toronto,ON,M6K 0B9,43.6418685,-79.4288069,110
75,330 Front St W,Toronto,ON,M5V 3B7,43.64363779999999,-79.39108159999999,123
76,670 Bloor Street W,Toronto,ON,M6G 1L2,43.6641987,-79.4165089,4
77,"80 Blue Jays Way, 2nd Floor",Toronto,ON,M5V 2G3,43.6452974,-79.3923967,123
78,113 Fort York Boulevard,Toronto,ON,M5V 0K2,43.6391167,-79.398135,123
79,NA,Toronto,ON,M3B 3B5,43.751633399999996,-79.36433170000001,5
80,"220 Yonge Street, Unit 3 102",Toronto,ON,M5B 2H1,43.6533022657,-79.380857572,7
81,5503 Eglinton Avenue W,Toronto,ON,M9C 5K5,43.653043,-79.6005931,41
82,2419 Yonge Street,Toronto,ON,M4P,43.7105539,-79.39877390000001,84
83,1285 Bloor Street W,Toronto,ON,M6H 1N7,43.6583044,-79.44251899999999,35
84,101-5519 Yonge Street,Toronto,ON,M2N 5S3,43.7783035425,-79.414961189,130
85,722 Queen Street E,Toronto,ON,M4M 1H2,43.6590524,-79.34938840000001,111
86,20 Eglinton Avenue W,Toronto,ON,M4R 1K8,43.7069414,-79.3986182,137
87,818 Eastern Avenue,Toronto,ON,M4L 1A1,43.661793100000004,-79.3290868,47
88,180 Ossington Avenue,Toronto,ON,M6J 2Z7,43.648323600000005,-79.4206148,120
89,196 Robert St,Toronto,ON,M5S 2K7,43.662775200000006,-79.40396820000001,121
90,"153 Bridgeland Avenue, Unit 8",Toronto,ON,M6A 2V1,43.72406420000001,-79.4650555,139
91,15 Hazelton Avenue,Toronto,ON,M5R 2E1,43.6713745,-79.3931198,4
92,612 Bloor Street W,Toronto,ON,M6G 1K7,43.6647061,-79.41383559999998,4
93,502 Queen Street W,Toronto,ON,M5V 2B3,43.6477412,-79.4012788,63
94,1901 Weston Road,Toronto,ON,M9N 3P5,43.700692,-79.515675,127
95,389 Spadina Rd,Toronto,ON,M5P 2W1,43.6884003,-79.41237059999999,22
96,"222 Finch Avenue W, Unit 110",Toronto,ON,M2R 1M6,43.7757926,-79.4344881,86
97,750 College Street,Toronto,ON,M6G 1C5,43.6551132,-79.4196288,95
98,12 Windermere Ave,Toronto,ON,M6S 3J2,43.6374418,-79.4705573,52
99,"100 Rexdale Boulevard, Unit 301-G",Toronto,ON,M9W 1N7,43.712734399999995,-79.56391090000001,102
100,1438 Queen Street W,Toronto,ON,M6K 1M2,43.640851700000006,-79.4358307,104
101,"4000 Steeles Avenue W, Unit 5",Toronto,ON,L4L 4V9,43.7701814,-79.55129840000001,NA
102,343 Jane Street,Toronto,ON,M6S 3Z3,43.6573337,-79.4873715,107
103,"1095 Ellesmere Road, Suite 2",Toronto,ON,M1P 2W9,43.767601,-79.27145300000001,32
104,1442 Dundas Street W,Toronto,ON,M6J 1Y6,43.6496871,-79.43030870000001,72
105,735 Queen St. E.,Toronto,ON,M4M 1H1,43.6588119,-79.34871190000001,111
106,745 Queen Street W,Toronto,ON,M6J 1G1,43.646449,-79.4071412,88
107,90 Distillery Lane,Toronto,ON,M5A 0K6,43.650422,-79.35735600000001,123
108,207 Queens Quay W,Toronto,ON,M5J 1A7,43.6388865,-79.380352,123
109,3320 Midland Avenue,Toronto,ON,M1V 1R4,43.807745178999994,-79.2895870283,77
110,2899 Dufferin Street,Toronto,ON,M6B 3S7,43.7083419,-79.4530944,139
111,525 King Street E,Toronto,ON,M5A 1L9,43.655346,-79.35876999999999,80
112,3774 Bathurst St.,Toronto,ON,M3H 3M6,43.737949799999996,-79.43467609999999,26
113,900 Dufferin Street,Toronto,ON,M6H 4A9,43.654959999999996,-79.43387299999999,35
114,45 Overlea Boulevard,Toronto,ON,M4H 1C3,43.7056898,-79.3460184,119
115,46 Blue Jays Way,Toronto,ON,M5V 2G3,43.6451305,-79.3922065,123
116,4700 Keele Street,Toronto,ON,M3J 2S5,43.774239200000004,-79.5014316,140
117,44 McAdam Ave,Toronto,ON,M6A 1S5,43.7221314,-79.45935250000001,139
118,3232 Lake Shore Blvd W,Toronto,ON,M8V 1M1,43.5973433,-79.52172409999999,87
119,709 Mount Pleasant Road,Toronto,ON,M4S 2N4,43.7066823567,-79.3894361,83
120,3495 Lawrence Avenue E,Toronto,ON,M1H 1A9,43.758022,-79.22743100000001,133
121,1095 Yonge Street,Toronto,ON,M4W 2L8,43.6800369,-79.3905192,105
122,"Shops at Don Mills, 42 Clock Tower Road",Toronto,ON,M3C 0G3,43.7344502639,-79.3442045152,5
123,"1089 Kingston Road, Suite 5",Toronto,ON,M4E 3S2,43.680469,-79.282829,13
124,50A Rexdale Blvd,Toronto,ON,M9W 5Z3,43.7137919,-79.5592962,102
125,624 Yonge Street,Toronto,ON,M4Y 1Z8,43.666219399999996,-79.38525390000001,7
126,3401 Dufferin St,Toronto,ON,M6A,43.725108299999995,-79.4528087,139
127,2440 Bloor Street W,Toronto,ON,M6S 1P9,43.6496026,-79.48433179999999,107
128,445 Rexdale Boulevard,Toronto,ON,M9W 6K5,43.7160617934,-79.5940264687,125
129,"955 Queen Street W, Unit 111",Toronto,ON,M6J 3X5,43.64508,-79.4144993,88
130,370 King Street W,Toronto,ON,M5V 1J9,43.646311931499994,-79.39132929600001,123
131,"Dragon City Centre, 280 Spadina Ave",Toronto,ON,M5T,43.652635499999995,-79.3983795,63
132,"10 Ravel Road, Unit 1-2",Toronto,ON,M2H 1S8,43.7903766,-79.365383,53
133,1333 Kennedy Road,Toronto,ON,M1P 2L6,43.761365399999995,-79.27937940000001,32
134,1506 Yonge Street,Toronto,ON,M4T 1Z6,43.6889196,-79.3945875,138
135,"344 Eastern Avenue, Unit 1",Toronto,ON,M4M,43.656732299999994,-79.3480672,111
136,"2437 Finch Avenue W, Unit 9 - 10",Toronto,ON,M9M 2E7,43.7507696674,-79.5464342695,55
137,74 Dundas Street E,Toronto,ON,M5B 1C7,43.6563929,-79.378509,24
138,1008 Danforth Avenue,Toronto,ON,M4J 1M2,43.6806948,-79.3368718,29
139,754 Yonge Street,Toronto,ON,M4Y 2B6,43.6692612,-79.3868327,7
140,630 Keele St,Toronto,ON,M6N 3E5,43.672212,-79.467928,60
